sample_id,smiles
36,CC1=CC2=C(N=C(C3=CC=C(C4=NC(C=C(C)C(C)=C5)=C5N4C6=O)C7=C6C=CC8=C37)N2C8=O)C=C1C
37,N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C\4=O)=O)C3=C2)/C1=C(C6=C(N7CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C=C(C)C=C6)\C7=O
38,O=C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=C(SC(C)=C2)C3=C(C=C(C(SC(C4=CC=C(C)S4)=C5)=C5C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C6=O)=O)C6=C3)C1=O
39,C5C(N(CC(CCCCCCCCCC)CCCCCCCC)C3=O)=O)SC6=C1C(N(CC(CCCCCCCCCC)CCCCCCCC)C(C7=C6SC(C)=C7)=O)=O
40,CCCCCCCCCCC)C(/C2=C3C(C=C(OC(/C4=C5C(C=CC(/C=C/C)=C6)=C6N(CC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C\5=O)=O)C4=C7)=C7OC\3=O)=O)=C
41,CC1=CC=C2C(N(CCCCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C(/C2=C3C(C=C(OC(/C4=C5C(C=CC(/C=C/C)=C6)=C6N(CCCCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C\5=O)=O)C4=C7)=C7OC\3=O)=O)=C1
42,CC1=CC=C2C(N(CCCCCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C(/C2=C3C(C=C(OC(/C4=C5C(C=CC(/C=C/C)=C6)=C6N(CCCCCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C\5=O)=O)C4=C7)=C7OC\3=O)=O)=C1
43,O=C(N1CC(CCCCCCCCCC)CCCCCCCC)C2=C(SC(C)=C2F)C(SC3=C4SC5=C3C(N(CC(CCCCCCCCCC)CCCCCCCC)C(C6=C5SC(C7=CC=C(C)S7)=C6F)=O)=O)=C4C1=O
44,O=C(SC1=CC=C(C#CC2=C(OCCCCCC)C=C(C#CC(C=C3)=CC=C3SC(C)=O)C(OCCCCCC)=C2)C=C1)C
45,O=C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C1=O)C2=C(C3=CC=C(C4=C(F)C(F)=C(C5=CC=C(C)S5)C6=NSN=C64)S3)C=C7C8=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C7=O)=O)C(C)=CC1=C82
46,O=C1C2=CC=C3C4=C2C(C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)=O)=CC(C5=CC(SC6=C7SC(C)=C6)=C7S5)=C4C8=CC=C9C%10=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C9=O)=O)C=C(C)C3=C8%10
47,O=C1C2=C3C(C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)=O)=C(C4=CC=C(C5=CC=C(C6=CC=CC=C6)[Se]5)[Se]4)C=C7C3=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C7=O)=O)C(C8=CC=C(C9=CC=CC=C9)C=C8)=C2
